step,design:pTM,design:global_pLDDT,design:hydrophobic,design:state_energy,system_energy
223,-0.18731296,-0.4642482,0.32779097387173395,0.98739374,0.98739374
224,-0.15082386,-0.4625401,0.3087885985748218,0.93057907,0.93057907
225,-0.16350996,-0.5221354,0.32857142857142857,0.95721185,0.95721185
226,-0.17191559,-0.5318979,0.32935560859188545,0.9429645,0.9429645
227,-0.16503249,-0.5396729,0.3277511961722488,0.9340506,0.9340506
228,-0.15829515,-0.54381216,0.3460620525059666,1.028203,1.028203
229,-0.29892406,-0.59668714,0.3444976076555024,0.8268769,0.8268769
230,-0.29892406,-0.59668714,0.3444976076555024,0.8268769,0.8268769
231,-0.41182876,-0.6418647,0.37264150943396224,0.80951405,0.80951405
232,-0.18321258,-0.51259494,0.35377358490566035,1.0730605,1.0730605
233,-0.1941754,-0.52398086,0.33647058823529413,0.9641966,0.9641966
234,-0.17160653,-0.49001843,0.3333333333333333,1.0050416,1.0050416
235,-0.1822528,-0.4894415,0.31542056074766356,0.9054085,0.9054085
236,-0.18006717,-0.516752,0.28672985781990523,0.7368301,0.7368301
237,-0.24644373,-0.52454466,0.3049645390070922,0.7538343,0.7538343
238,-0.33472162,-0.6291994,0.32387706855791965,0.65546435,0.65546435
239,-0.28408584,-0.5633635,0.3333333333333333,0.8192173,0.8192173
240,-0.29252556,-0.5703366,0.33489461358313816,0.81161094,0.81161094
241,-0.30130935,-0.58501714,0.3380614657210402,0.8039809,0.8039809
242,-0.3788107,-0.63611126,0.3176470588235294,0.57331336,0.57331336
243,-0.37726608,-0.645955,0.3127962085308057,0.5407599,0.5407599
244,-0.34556922,-0.61818635,0.3157894736842105,0.6151918,0.6151918
245,-0.38803443,-0.6852169,0.3349282296650718,0.60138977,0.60138977
246,-0.38803443,-0.6852169,0.3349282296650718,0.60138977,0.60138977
247,-0.29657567,-0.6293523,0.3115942028985507,0.63204306,0.63204306
248,-0.24926145,-0.57217914,0.3099273607748184,0.72819626,0.72819626
249,-0.27096593,-0.61651736,0.3121951219512195,0.67349225,0.67349225
250,-0.27096593,-0.61651736,0.3121951219512195,0.67349225,0.67349225
251,-0.21045557,-0.53546387,0.3099273607748184,0.8037174,0.8037174
252,-0.15831174,-0.49495,0.3397129186602871,1.0453029,1.0453029
253,-0.37167442,-0.65048224,0.33649289099526064,0.66030777,0.66030777
254,-0.37167442,-0.65048224,0.33649289099526064,0.66030777,0.66030777
255,-0.31127346,-0.6087635,0.3380952380952381,0.7704392,0.7704392
256,-0.17644091,-0.51413137,0.36619718309859156,1.1404136,1.1404136
